Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Logistic Regression,0.8333+/-0.0046,0.8368+/-0.0059,0.8281+/-0.0063,0.8324+/-0.0046,0.9066+/-0.0035
Decision Tree,0.9103+/-0.0031,0.9058+/-0.0058,0.9158+/-0.0044,0.9108+/-0.0029,0.9103+/-0.0031
Random Forest,0.9477+/-0.0027,0.9304+/-0.0046,0.9679+/-0.0022,0.9488+/-0.0025,0.9910+/-0.0007
XGBoost,0.9480+/-0.0026,0.9517+/-0.0040,0.9440+/-0.0032,0.9478+/-0.0026,0.9912+/-0.0004
SVM,0.8327+/-0.0047,0.8363+/-0.0055,0.8274+/-0.0072,0.8318+/-0.0049,0.9065+/-0.0035
KNN,0.9061+/-0.0038,0.8618+/-0.0062,0.9675+/-0.0032,0.9116+/-0.0032,0.9590+/-0.0028
