,CV_Accuracy_Mean,CV_Accuracy_Std,CV_Precision_Mean,CV_Precision_Std,CV_Recall_Mean,CV_Recall_Std,CV_F1_Mean,CV_F1_Std,CV_AUC_Mean,CV_AUC_Std,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC
Logistic Regression,0.8332654365341152,0.0046382161336858,0.836801109718493,0.0058556913542500534,0.828067453832654,0.006321294212476848,0.8323924435894714,0.004645556376912487,0.906560939036613,0.0034841538058633208,0.8305871945150946,0.3883129123468426,0.77882797731569,0.5182389937106918,0.8897521700068536
Decision Tree,0.910276431295998,0.003085012405786629,0.9058386247140584,0.0057588636304385585,0.9158030510934905,0.004421043817799456,0.9107738629404564,0.0029143352266957972,0.910276300046615,0.0030854114895392803,0.8597810461130156,0.42346938775510207,0.5491493383742911,0.47818930041152263,0.7250442997444405
Random Forest,0.9477409498140155,0.0026863058760228024,0.9304344030095166,0.004637420895832284,0.9678741811739477,0.0022469147732224726,0.9487772931310159,0.0025301451274142247,0.9910277474081333,0.0006579124567593716,0.8941722879575362,0.5414954806902219,0.6228733459357277,0.5793406593406594,0.9247505069169153
XGBoost,0.9480384829901141,0.0025773237029874906,0.9517185071018248,0.004002765379952522,0.9439835319943967,0.003199386294818996,0.9478283578486352,0.002557363075446359,0.99121760990011,0.0004390489390646823,0.9061152272475949,0.6065239551478083,0.5623818525519849,0.5836194212849436,0.9286937464267241
SVM,0.8326861250236396,0.004696660454884717,0.8362634108361894,0.0054896966283942,0.8274097945548938,0.007159806816712523,0.8317921544572127,0.004863330112661553,0.9064604971196518,0.0034728084197864833,0.831693022227137,0.390359168241966,0.780718336483932,0.520478890989288,0.8895883467702319
KNN,0.9061276432374425,0.0037600661466743283,0.8618018545885576,0.0062066598992102555,0.9674673543272589,0.0031682855864044713,0.9115642485275035,0.0031998977123114825,0.9589806761623422,0.002753984595048539,0.8148844410040915,0.3320610687022901,0.5756143667296786,0.4211618257261411,0.7591811442295513
