Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Logistic Regression,0.8992+/-0.0036,0.6572+/-0.0349,0.2898+/-0.0209,0.4019+/-0.0250,0.8842+/-0.0094
Decision Tree,0.8743+/-0.0039,0.4642+/-0.0152,0.4781+/-0.0218,0.4708+/-0.0159,0.7025+/-0.0104
Random Forest,0.9043+/-0.0043,0.6520+/-0.0321,0.3916+/-0.0218,0.4891+/-0.0238,0.9275+/-0.0057
XGBoost,0.9068+/-0.0057,0.6313+/-0.0332,0.4904+/-0.0328,0.5515+/-0.0293,0.9321+/-0.0056
SVM,0.9003+/-0.0038,0.6483+/-0.0327,0.3229+/-0.0223,0.4307+/-0.0248,0.8863+/-0.0083
KNN,0.8895+/-0.0036,0.5683+/-0.0362,0.2264+/-0.0230,0.3236+/-0.0289,0.7461+/-0.0133
