,CV_Accuracy_Mean,CV_Accuracy_Std,CV_Precision_Mean,CV_Precision_Std,CV_Recall_Mean,CV_Recall_Std,CV_F1_Mean,CV_F1_Std,CV_AUC_Mean,CV_AUC_Std,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC
Logistic Regression,0.8992204951543961,0.003550975727280022,0.6571966293912099,0.03493167191465442,0.289767607832642,0.020878114945199068,0.4019366274932592,0.024980145480201763,0.8841648887767659,0.009430084950889497,0.8987061815769103,0.6584821428571429,0.27882797731569,0.39176626826029215,0.8856335070601423
Decision Tree,0.8743365660805293,0.0038609835887928336,0.4641884786030125,0.015223895326866216,0.47814409652526874,0.021750222164018496,0.47084315624732787,0.015945327074203663,0.7024844498824112,0.010449324543802025,0.876589627336061,0.47284644194756553,0.4773156899810964,0.47507055503292567,0.7034042444896089
Random Forest,0.9043355446013296,0.004276836118005917,0.652016321329137,0.0320869267797095,0.3916360007136804,0.021767377536280035,0.4891138004929537,0.023794310700000442,0.9274741265776397,0.00568067567084783,0.9058940617051864,0.6635071090047393,0.39697542533081287,0.4967474866942638,0.9268962480454255
XGBoost,0.9067961396649548,0.005728647680490369,0.6312917619478554,0.033217583957601916,0.49041884116151485,0.03275163713629937,0.5515236414837649,0.029265225440562988,0.9320582843141203,0.005556396091643367,0.9062258100187991,0.6305970149253731,0.4792060491493384,0.5445757250268528,0.9299399985558934
SVM,0.9002711507360767,0.0037739821889807225,0.6483376766789499,0.03274155405003266,0.322856728667648,0.022304225841805247,0.4307471468733596,0.02484062258522481,0.8863323445996905,0.008326386494152987,0.8994802609753401,0.6475247524752475,0.30907372400756145,0.418426103646833,0.8876185617408825
KNN,0.8894602843382161,0.0035686369212670844,0.5682894646408082,0.03618025424201872,0.226430148534725,0.022993097376709425,0.3236321819441395,0.028900079979160206,0.746083117404009,0.01327233834550733,0.8879796527700984,0.5526932084309133,0.22306238185255198,0.3178451178451178,0.7388021964624124
