,CV_Accuracy_Mean,CV_Accuracy_Std,CV_Precision_Mean,CV_Precision_Std,CV_Recall_Mean,CV_Recall_Std,CV_F1_Mean,CV_F1_Std,CV_AUC_Mean,CV_AUC_Std,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC
XGBoost,0.9489934915935125,0.0023685528286006684,0.9517764070945521,0.003541466588027601,0.9459248971558598,0.0019172005224276465,0.9488388197600915,0.0023238979083403913,0.9917316586629921,0.0004566152529994813,0.9092115448413137,0.6295081967213115,0.5444234404536862,0.5838824125696909,0.9320915989692393
Random Forest,0.9492439073027074,0.0023349029680265823,0.9316190877660027,0.0044013100692187005,0.9696902624930356,0.0022007206310223127,0.9502653243087338,0.002185364755365748,0.9920753737326938,0.0005668160024212782,0.8961627778392126,0.5491329479768786,0.6285444234404537,0.5861613045394447,0.9261309899350506
Logistic Regression,0.833891681688668,0.004173162892153064,0.8368321791364703,0.005170206644712465,0.829570340253933,0.006486210377898682,0.8331660430636809,0.004289850174023461,0.9070208344027785,0.003440113644325947,0.8302554462014818,0.38744690891930156,0.775992438563327,0.516839785961599,0.8900026396374109
